tank_id,image,isPrem,name,avg_earnings,profit_per_minute,avg_repair_cost,avg_profit,avg_ammo_cost,earnings_per_minute,nation,cost_per_shot,battles,tier,class,avg_consumables_cost
10049,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F33_S_35CA.png,False,S35 CA,20851,721,1818,4070,8882,3695,France,882,567,5,TD,6079
20769,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A147_M_II_Y.png,False,M-II-Y,32884,796,7225,4055,18392,6461,USA,1907,1718,7,HT,3210
20513,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A142_Pawlack_Tank.png,False,Pawlack Tank,29032,893,4608,4029,16710,6439,USA,1638,2646,6,HT,3684
16641,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R101_MT25.png,False,MT-25,25141,920,4056,3993,9961,5797,USSR,915,2467,6,LT,7130
1953,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It09_P43_ter.png,False,P.43 ter,29842,773,7251,3933,14497,5867,Italy,1615,2738,7,MT,4159
2881,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F14_AMX40.png,False,AMX 40,16439,810,998,3917,8010,3401,France,673,509,4,LT,3512
43329,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F111_AM39_Gendron_Somua.png,True,AM Gendron,17590,1087,280,3880,8841,4928,France,387,154,2,LT,4587
2321,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G15_VK3601H.png,False,VK 36.01 H,35455,791,4903,3880,20285,7232,Germany,1758,6112,6,HT,6386
43841,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F42_AMR_35.png,True,AMR 35,13251,973,335,3841,8166,3356,France,324,119,2,LT,907
4481,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S10_Strv_103_0_Series.png,False,Strv 103-0,36679,591,11163,3825,16814,5674,Sweden,1750,5303,9,TD,4876
1649,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz05_T34_100.png,False,T-34/100,29638,739,7179,3780,14011,5797,Czech,1540,1751,7,MT,4667
8961,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R46_KV-13.png,False,KV-13,39027,711,6446,3635,23204,7636,USSR,1776,234,7,MT,5741
18433,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R107_LTB.png,False,LTTB,26489,866,9209,3546,8267,6472,USSR,1218,2435,8,LT,5466
2961,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl13_53TP_Markowskiego.png,False,53TP,36103,715,10255,3519,18090,7340,Poland,2299,2656,8,HT,4237
4513,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It26_CC_56.png,False,SMV CC-56,30985,643,7888,3518,16600,5669,Italy,2017,5380,7,TD,2976
5217,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J28_O_I_100.png,False,O-Ni,30088,665,8705,3422,12631,5848,Japan,1759,654,7,HT,5329
16209,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB107_Cavalier.png,False,Cavalier,25393,771,2295,3396,15719,5768,UK,1037,2726,5,MT,3982
10817,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F35_AMX_AC_Mle1946.png,False,AMX AC 46,22673,616,5849,3332,11208,4194,France,1300,404,7,TD,2283
2945,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S20_Ikv_72.png,False,Ikv 72,14242,658,661,3257,9638,2878,Sweden,887,146,3,TD,684
1393,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz08_T_25.png,False,Škoda T 25,27212,699,4706,3253,15427,5849,Czech,1087,8012,6,MT,3824
