damage_received,survival,damage_received_from_invisible,life_time,nation,player_winrate,winrate,image,isPrem,class,difference,tier,damage_blocked,battles,shots_fired,spots,tank_id,direct_hits,sniper_damage,spotting_assist,base_defense_points,wn8,frags,penetrations,base_capture_points,distance_traveled,hit_rate,name,tracking_assist,potential_damage_received,pen_rate,damage
950,30.21,387,335,Czech,50.21,49.92,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/czech-Cz20_ShPTK_TVP_100_mm.png,True,TD,-0.29,8,47,54075,11.95,0.56,60529,7.38,711,223,0.55,1420,0.93,5.18,0.63,1399,61.77,ShPTK-TVP,63,1005,70.23,1337
930,31.2,406,340,Germany,49.42,49.42,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png,True,TD,0,8,5,49820,6.31,0.4,62481,4.05,732,163,0.36,1297,0.85,3.01,0.6,1255,64.15,Skorpion,43,891,74.47,1308
1471,31.87,606,353,UK,49.33,46.96,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB83_FV4005.png,False,TD,-2.37,10,41,48395,3.75,0.27,13905,2.3,833,166,0.19,1158,0.9,1.22,0.43,977,61.42,FV4005,36,1281,53.07,1642
1414,33.92,551,364,Germany,48.88,47.84,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G121_Grille_15_L63.png,False,TD,-1.04,10,12,47389,5.85,0.39,19217,4.05,1078,240,0.31,1275,0.87,2.83,0.54,1296,69.35,Grille 15,64,1203,69.8,1866
2790,31.33,579,331,Germany,48.91,48.65,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G42_Maus.png,False,HT,-0.26,10,2299,46678,8.07,0.76,6929,6.31,200,475,0.27,1305,0.72,3.79,1.26,1131,78.19,Maus,72,5060,60.1,1746
1363,30.07,338,309,Czech,51.03,53,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png,True,HT,1.97,8,613,46478,7.42,0.97,51057,5.75,224,272,0.33,1622,1.01,4.05,0.75,1297,77.48,Škoda T 56,54,1958,70.42,1671
1681,25.5,413,303,Italy,48.78,48.85,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It19_Progetto_C50_mod_66.png,False,HT,0.07,9,546,46020,8.16,0.87,3489,6.3,216,301,0.29,1229,0.72,4.13,0.77,1175,77.22,Progetto 66,68,2232,65.51,1404
962,33.12,344,343,UK,49.57,50.72,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB109_GSOR_1008.png,True,TD,1.15,8,148,45323,8.6,0.53,52305,6.31,529,208,0.47,1353,0.99,4.7,0.9,1298,73.39,GSOR 1008,52,1133,74.54,1368
1374,30.54,444,336,USA,48.71,48.56,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A14_T30.png,False,TD,-0.15,9,449,45251,5.14,0.52,2593,3.53,435,238,0.28,1193,0.78,2.37,0.86,1054,68.75,T30,48,1836,67.02,1484
1148,26.16,367,297,USA,49.68,50.97,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A152_M_Project.png,True,MT,1.29,8,879,45199,8.2,1.11,33057,5.78,229,354,0.34,1277,0.7,4.05,0.84,1338,70.46,Iron Arnie,50,2050,70.09,1212
1745,26.53,546,306,UK,50.75,49.86,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB86_Centurion_Action_X.png,False,MT,-0.89,10,496,44293,10.62,1.31,7249,7.79,589,491,0.37,1718,0.92,5.44,0.44,1663,73.38,Centurion AX,97,2177,69.76,2007
825,34.88,338,359,Germany,48.26,47.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G99_RhB_Waffentrager.png,False,TD,-0.28,8,2,44234,5.35,0.27,16657,3.33,594,146,0.32,1025,0.79,2.33,0.79,981,62.16,Rhm.-B. WT,41,757,70.1,1155
1826,27.79,436,316,Italy,49.07,47.78,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It15_Rinoceronte.png,False,HT,-1.29,10,757,43669,8.08,0.94,2977,6.55,324,384,0.3,1524,0.89,4.42,0.65,1341,81.08,Rinoceronte,80,2541,67.57,1981
1500,26.99,480,308,UK,50.13,49.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB24_Centurion_Mk3.png,False,MT,-0.15,9,547,42770,9.3,1.16,5713,6.55,377,439,0.38,1338,0.74,4.41,0.68,1484,70.48,Centurion 7/1,64,2022,67.35,1410
1956,28.18,442,311,Czech,50.84,49.98,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz17_Vz_55.png,False,HT,-0.86,10,892,42396,9.09,1.2,2929,7.33,315,412,0.3,1725,0.96,5.15,0.51,1461,80.65,Vz. 55,91,2783,70.29,2336
1324,23.8,340,289,Italy,48.01,48.76,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It17_Progetto_CC55_mod_54.png,False,HT,0.75,8,463,41329,7.7,0.93,3745,5.9,170,236,0.31,1219,0.71,3.96,0.81,1180,76.58,Progetto 54,55,1795,67.04,1170
1396,27.39,474,320,Sweden,48.82,48.66,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S27_UDES_16.png,False,MT,-0.16,9,439,39939,7.7,1.01,5249,5.4,358,423,0.37,1134,0.68,3.6,0.76,1457,70.15,UDES 16,61,1778,66.53,1278
2253,30.37,553,322,UK,50.4,50.24,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB91_Super_Conqueror.png,False,HT,-0.16,10,1327,38417,11.71,1.03,15697,9.18,324,435,0.33,1840,0.92,6.02,0.62,1303,78.45,S. Conqueror,105,3461,65.6,2276
1787,35.34,584,357,Germany,49.09,49.99,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G72_JagdPz_E100.png,False,TD,0.9,10,1157,37928,4.27,0.46,12049,3.05,605,280,0.19,1301,0.84,2.1,0.85,1039,71.42,Jg.Pz. E 100,42,2913,68.79,1873
741,35.19,327,357,Sweden,48.78,48.1,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S22_Strv_S1.png,True,TD,-0.68,8,90,36840,6.79,0.35,52097,4.45,759,177,0.42,1144,0.73,3.43,0.94,1034,65.46,Strv S1,44,853,77.01,1209
295,42.93,114,388,USSR,48.73,49.67,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R52_Object_261.png,False,SPG,0.94,10,9,36805,8.93,0.02,8705,3.26,1219,17,0.52,1015,0.53,0.18,0.17,598,36.49,Obj. 261,56,341,5.47,1280
1200,36.62,466,373,Germany,48.56,47.85,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G97_Waffentrager_IV.png,False,TD,-0.71,9,6,36765,6.57,0.32,16401,4.33,865,196,0.45,1197,0.85,3.02,0.75,1095,65.86,WT auf Pz. IV,52,1059,69.86,1538
1236,24.46,441,304,Sweden,48.17,47.94,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S29_UDES_14_5.png,False,MT,-0.23,8,76,36278,6.88,1,4993,4.64,319,350,0.37,1070,0.62,3.22,0.7,1442,67.48,UDES 14 5,44,1302,69.31,970
998,34.67,381,348,Japan,50.25,51.95,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J31_Type_5_KaRi.png,True,TD,1.7,8,376,35831,6.91,0.54,53345,4.65,688,215,0.42,1396,1,3.5,0.8,1239,67.32,Ka-Ri,45,1395,75.23,1554
191,40.71,73,366,USA,49.05,48.05,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A87_M44.png,False,SPG,-1,6,0,35762,8.06,0.03,16417,1.91,419,12,0.61,591,0.45,0.18,0.3,501,23.66,M44,29,195,9.33,458
1530,29.38,383,318,Germany,48.44,49.16,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G115_Typ_205B.png,False,HT,0.72,8,1295,35472,6.75,0.7,19729,4.83,127,294,0.29,1089,0.6,2.81,1.2,1061,71.52,VK 100.01 P,45,2825,58.14,1043
1357,36.93,562,372,Sweden,49.06,48.54,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S11_Strv_103B.png,False,TD,-0.52,10,486,34392,10.43,0.49,4737,7.36,1057,315,0.47,1304,0.85,5.19,1.02,1267,70.6,Strv 103B,88,1722,70.45,1885
1502,25.43,409,302,Germany,48.08,48.04,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G51_Lowe.png,True,HT,-0.04,8,791,33821,7.35,0.78,54289,5.34,154,268,0.27,1043,0.54,3.37,0.96,1066,72.64,Löwe,42,2290,63.06,1015
698,27.95,218,304,Germany,51.15,52,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G48_E-25.png,True,TD,0.85,7,55,33445,14.29,1.26,55569,9.55,360,333,0.7,1247,0.95,6.72,1.09,1541,66.8,E 25,36,747,70.35,891
288,42.14,111,386,France,47.78,48.68,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F38_Bat_Chatillon155_58.png,False,SPG,0.9,10,1,33404,10.03,0.02,11841,3.53,983,16,0.54,739,0.45,0.19,0.44,754,35.24,B-C 155 58,47,311,5.3,1020
1462,36.72,400,351,USA,49.41,51.23,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A40_T95.png,False,TD,1.82,9,1486,33005,5.22,0.54,8737,3.83,298,313,0.25,1213,0.82,2.49,1.64,1020,73.39,T95,46,2959,65.01,1551
1689,25.41,427,301,USA,49.25,49.46,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A125_AEP_1.png,True,HT,0.21,9,923,32914,8.38,1.02,61729,6.27,205,325,0.28,1311,0.69,4.08,0.68,1213,74.73,AE Phase I,58,2600,65.07,1520
2274,26.7,456,308,USSR,49.42,48.38,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R45_IS-7.png,False,HT,-1.04,10,1455,32650,8.06,1.36,7169,6.3,183,506,0.23,1552,0.77,4.01,0.66,1401,78.11,IS-7,76,3657,63.6,1867
232,42.53,90,387,USA,48.61,48.88,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A37_M40M43.png,False,SPG,0.27,8,2,32578,6.35,0.02,7457,1.81,840,15,0.59,843,0.52,0.14,0.11,437,28.45,M40/M43,26,259,7.57,887
1690,30.32,493,338,USA,47.91,47.91,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A83_T110E4.png,False,TD,0,10,803,31608,5.25,0.55,13089,3.7,452,304,0.2,1128,0.74,2.52,0.82,1104,70.58,T110E4,52,2465,68.14,1697
1432,28.73,506,329,Germany,49.21,48.6,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G91_Pro_Ag_A.png,False,MT,-0.61,9,92,31523,8.01,0.93,14865,5.55,625,373,0.47,1335,0.82,4.06,0.55,1550,69.37,Leopard PT A,62,1484,73.04,1517
1124,26.34,323,291,USA,49.38,50.07,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A11_T29.png,False,HT,0.69,7,606,31284,6.74,0.86,3873,4.69,107,221,0.27,899,0.59,3,1.14,1066,69.63,T29,36,1716,63.89,826
1594,25.32,503,304,Czech,49.81,48.05,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz04_T50_51.png,False,MT,-1.76,10,118,30885,11.65,1.24,2417,8.79,631,458,0.32,1523,0.95,6.26,0.39,1698,75.44,TVP T 50/51,93,1682,71.27,1891
1206,18.19,370,251,France,51.26,49.14,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F108_Panhard_EBR_105.png,False,LT,-2.12,10,11,30796,5.5,3.93,19009,3.98,235,1213,0.36,1267,0.64,2.84,0.37,3126,72.49,EBR 105,41,1107,71.35,1101
535,25.77,209,296,USA,49.16,48.73,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A41_M18_Hellcat.png,False,TD,-0.43,6,15,30164,7.22,0.75,11553,4.46,318,180,0.43,1069,0.71,3.32,0.87,1155,61.75,Hellcat,30,531,74.53,679
2101,25.39,441,302,USSR,49.92,48.41,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R155_Object_277.png,False,HT,-1.51,10,1176,29950,8.52,1.47,22017,6.6,237,479,0.27,1603,0.81,4.35,0.47,1473,77.53,Obj. 277,73,3200,65.93,2001
1297,22.05,447,288,UK,48.06,46.19,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB23_Centurion.png,False,MT,-1.87,8,418,29618,9.5,1.04,5969,6.33,212,344,0.34,1008,0.54,4.28,0.72,1328,66.64,Centurion I,43,1720,67.64,877
1675,32.07,482,338,USA,49.11,50.05,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A85_T110E3.png,False,TD,0.94,10,1490,29179,5.38,0.55,13857,3.99,374,333,0.16,1231,0.78,2.75,1.03,1025,74.29,T110E3,49,3110,68.93,1848
860,33.32,362,351,USSR,49.63,49.19,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM_DR.png,True,TD,-0.44,8,1,28378,6.46,0.37,27905,4.14,747,181,0.43,1293,0.91,3.06,0.67,1192,64.17,Forest Spirit,45,803,73.92,1400
1778,26.86,570,310,Japan,50.52,49.5,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J16_ST_B1.png,False,MT,-1.02,10,440,27808,11.48,1.34,3681,8.25,494,535,0.38,1592,0.91,5.74,0.38,1729,71.88,STB-1,94,2124,69.53,1937
297,41.06,108,381,USA,48.5,48.82,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A38_T92.png,False,SPG,0.32,10,2,27319,5.91,0.01,8481,1.64,1138,19,0.42,901,0.48,0.11,0.04,413,27.78,T92 HMC,47,330,6.65,1196
2500,29.7,551,327,Germany,48.95,47.62,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G56_E-100.png,False,HT,-1.33,10,1764,27263,6.73,0.78,9489,5.1,201,418,0.2,1335,0.75,2.98,0.99,1148,75.85,E 100,62,4227,58.33,1808
2354,31.27,516,331,Poland,48.99,49.12,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl15_60TP_Lewandowskiego.png,False,HT,0.13,10,1353,26973,6.51,0.91,3473,5.05,249,427,0.21,1531,0.87,3.1,0.84,1275,77.59,60TP,69,3616,61.51,2084
1006,18.89,350,249,USSR,51.05,50.49,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R158_LT_432.png,True,LT,-0.56,8,170,26871,7.5,3.07,45569,5.43,169,851,0.41,1343,0.58,4,0.55,1756,72.41,LT-432,24,1178,73.63,743
1160,24.66,384,294,Poland,50.41,50.47,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl19_CS_52_LIS.png,True,MT,0.06,8,314,26839,8.26,1.19,51089,5.86,347,368,0.35,1441,0.8,4.26,0.57,1515,70.89,CS-52 LIS,58,1499,72.8,1270
1327,25.97,411,300,USA,47.74,47.63,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A80_T26_E4_SuperPershing.png,True,MT,-0.11,8,758,26706,9.32,0.99,13345,6.41,161,344,0.37,1070,0.6,4.05,1.21,1244,68.78,T26E4,51,2100,63.21,928
1142,26.03,389,298,USA,49.88,50.71,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A149_AMBT.png,True,MT,0.83,8,287,26625,7.43,0.94,34081,5.51,339,303,0.39,1386,0.91,4.07,0.72,1350,74.08,AMBT,54,1452,73.94,1321
1436,28.98,352,310,USA,50.03,51.02,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A158_T832.png,True,HT,0.99,8,825,26572,9.42,1.1,43297,7.18,230,330,0.34,1369,0.8,4.74,0.8,1269,76.25,T-832,64,2240,65.98,1418
710,25.58,234,279,USSR,50.47,51.37,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R108_T34_85M.png,True,MT,0.9,6,189,26316,9.78,1.07,58113,6.37,207,235,0.49,1260,0.89,4.75,0.98,1274,65.16,T-34-85M,35,887,74.57,801
1645,26.18,536,312,Italy,50.9,49.23,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It21_Lion.png,True,MT,-1.67,10,282,26094,9.37,1.1,50593,7.05,682,447,0.42,1678,1.01,5.3,0.38,1591,75.19,Lion,96,1870,75.27,2044
1042,28.93,405,325,USSR,48.22,48.22,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R135_T_103.png,True,TD,0,8,394,26077,6.42,0.45,48385,3.97,434,172,0.29,1072,0.68,2.79,0.74,1037,61.89,T-103,38,1473,70.28,1113
1760,29.13,430,321,Germany,48.91,49.38,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G55_E-75.png,False,HT,0.47,9,1114,25735,6.86,0.77,9745,5.14,200,317,0.24,1240,0.68,3.14,0.96,1125,74.99,E 75,54,2879,61.09,1443
1543,29.79,523,340,France,48.54,47.44,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F64_AMX_50Fosh_155.png,True,TD,-1.1,10,559,25516,5.25,0.51,13889,3.76,616,265,0.27,1141,0.85,2.64,0.68,1227,71.62,Foch 155,52,2069,70.16,1730
1376,23.48,341,293,USSR,47.66,47.38,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R19_IS-3.png,False,HT,-0.28,8,661,25219,6.09,0.81,5377,4.36,101,232,0.27,918,0.54,2.63,0.96,1166,71.6,IS-3,43,2060,60.4,942
1663,34.62,461,339,UK,49.99,52.01,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB32_Tortoise.png,False,TD,2.02,9,1499,25063,10.39,0.64,52561,7.49,368,330,0.46,1432,0.92,4.68,1.32,1024,72.11,Tortoise,76,3171,62.47,1702
217,41,93,372,Germany,49.48,50.36,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G49_G_Panther.png,False,SPG,0.88,7,2,24879,8.5,0.02,8977,2.44,653,11,0.64,718,0.53,0.17,0.1,404,28.73,G.W. Panther,26,237,6.88,692
1118,29.7,379,317,Italy,49.36,50.69,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It30_CC_mod_64_Prem.png,True,TD,1.33,8,868,24597,7.17,0.66,50337,5.09,246,238,0.26,1209,0.77,3.35,0.95,1086,71.02,Vipera,51,1991,65.87,1210
1834,27.6,491,303,USSR,50.26,53.19,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R149_Object_268_4.png,False,TD,2.93,10,1612,24370,6.31,1.28,20225,4.74,312,459,0.19,1526,0.88,3.31,0.64,1480,75.15,Obj. 268 4,59,3356,69.88,2044
2071,31.05,485,330,Germany,48.84,49.49,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G110_Typ_205.png,False,HT,0.65,9,1422,24258,6.58,0.63,18705,4.92,173,332,0.3,1093,0.62,2.96,1.31,1036,74.77,Mäuschen,49,3506,60.26,1316
1384,27.33,360,299,USSR,50.58,51.72,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,True,HT,1.14,8,946,24245,7.7,0.96,44289,5.83,152,259,0.3,1432,0.83,3.74,0.84,1227,75.68,703 II (122),53,2329,64.25,1329
1370,27.87,453,323,Germany,48.64,47.92,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G147_Kunze_Panzer.png,True,MT,-0.72,9,75,24112,7.72,1.11,46353,5.33,503,435,0.4,1173,0.73,3.77,0.69,1506,69.07,Kunze Panzer,57,1414,70.74,1357
208,41.51,79,378,USA,48.76,48.1,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A32_M12.png,False,SPG,-0.66,7,1,24077,7.9,0.03,7969,2.25,587,13,0.63,670,0.47,0.16,0.19,458,28.49,M12,23,227,7.01,633
1673,25.56,520,310,Italy,47.87,47.05,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It08_Progetto_M40_mod_65.png,False,MT,-0.82,10,220,24049,9.34,1.02,2721,7.05,520,436,0.36,1239,0.89,5.08,0.47,1560,75.54,Progetto 65,82,1850,71.98,1699
848,27.15,278,291,USSR,49.98,50.26,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R77_KV2.png,False,HT,0.28,6,242,23495,4.2,0.61,10497,2.61,90,141,0.24,1177,0.83,1.18,1.12,968,62.16,KV-2,29,1067,45.27,713
1815,26.91,467,309,UK,49.21,49.94,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB12_Conqueror.png,False,HT,0.73,9,940,23383,8.92,0.93,4433,6.84,236,320,0.34,1363,0.7,4.38,0.78,1177,76.73,Conqueror,70,2715,63.97,1560
774,18.5,246,247,UK,49.56,49.56,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB21_Cromwell.png,False,MT,0,6,59,23381,10.1,1.44,1105,6.27,129,261,0.37,1068,0.67,4.61,0.68,1437,62.01,Cromwell,26,810,73.64,589
769,31.88,323,351,Sweden,47.9,47.13,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S21_UDES_03.png,False,TD,-0.77,8,11,23207,6.47,0.4,4225,4.25,662,190,0.42,985,0.62,3.15,0.91,1151,65.64,UDES 03,37,783,74.15,1041
1474,23.24,409,290,Germany,47.12,46.04,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G16_PzVIB_Tiger_II.png,False,HT,-1.08,8,591,23106,6.86,0.68,5137,4.98,153,223,0.24,939,0.53,2.96,0.88,1014,72.63,Tiger II,44,2066,59.38,968
1375,25.35,400,289,Germany,49.39,49.74,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G04_PzVI_Tiger_I.png,False,HT,0.35,7,263,23099,7.43,0.76,529,5.14,152,198,0.37,965,0.62,3.27,1.14,1039,69.13,Tiger I,38,1623,63.67,823
1568,33.72,576,361,UK,49.23,48.02,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB48_FV215b_183.png,True,TD,-1.21,10,408,22641,3.86,0.33,9297,2.46,750,216,0.18,1154,0.9,1.25,0.67,995,63.58,FV215b 183,35,1905,50.73,1676
1105,29.13,383,323,Italy,48.52,48.71,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It31_CC_67_B.png,False,TD,0.19,8,773,22290,6.77,0.64,4769,4.76,258,230,0.31,1049,0.64,3.1,0.94,1141,70.4,SMV CC-67,45,1885,65.04,1049
959,27.61,367,322,USA,46.84,46.19,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A68_T28_Prototype.png,False,TD,-0.65,8,464,21996,6.26,0.4,11297,4.03,320,182,0.27,807,0.56,2.57,0.88,926,64.41,T28 Prot.,39,1461,63.66,905
2059,26.52,458,305,USA,49.67,48.18,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A69_T110E5.png,False,HT,-1.49,10,1268,21978,10.02,1.09,10785,7.77,248,427,0.27,1409,0.75,4.88,0.63,1313,77.59,T110E5,84,3282,62.78,1834
851,30.46,333,341,UK,48.68,48.08,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB80_Charioteer.png,False,TD,-0.6,8,19,21845,7.5,0.49,14673,4.72,578,212,0.38,1152,0.74,3.35,0.73,1324,62.89,Charioteer,45,882,71.08,1137
1124,24.59,303,286,Italy,49.2,49.31,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It16_Carro_d_assalto_P88.png,False,HT,0.11,7,422,21757,7.92,0.79,3233,5.55,104,198,0.31,995,0.6,3.68,1.26,1095,70.1,Carro P.88,41,1528,66.28,825
732,22.99,253,269,Italy,49.3,49.43,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It10_P43_bis.png,False,MT,0.13,6,149,21690,7.44,0.84,1697,4.65,129,191,0.34,1079,0.67,3.25,1.07,1157,62.53,P.43 bis,30,877,69.93,631
1288,25.14,339,292,Italy,50.04,50.83,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It18_Progetto_C45_mod_71.png,True,HT,0.79,8,569,21615,8.13,1.01,51105,6.13,182,264,0.37,1419,0.84,4.09,0.74,1210,75.38,Bisonte C45,56,1851,66.69,1341
1147,24.37,391,295,France,49.53,49.01,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F19_Lorraine40t.png,True,MT,-0.52,8,36,21330,8.2,0.93,62529,5.87,370,268,0.41,1393,0.86,4.48,0.52,1489,71.62,Lorr. 40 t,52,1192,76.21,1239
970,20.76,343,269,Sweden,49.28,49.24,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S13_Leo.png,False,MT,-0.04,7,68,20511,6.55,0.99,1665,4.29,154,246,0.35,879,0.54,2.9,0.87,1301,65.58,Leo,32,1029,67.66,655
1170,32.22,368,327,China,50.39,51.86,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png,True,MT,1.47,8,631,20366,6.75,0.9,65329,5.02,317,350,0.39,1454,0.82,3.64,0.92,1405,74.43,122 TM,48,1811,72.51,1330
1694,25.62,470,306,USSR,49.38,48.48,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R97_Object_140.png,False,MT,-0.9,10,576,20328,11.16,1.26,16897,8.11,450,545,0.34,1376,0.82,5.61,0.48,1646,72.7,Obj. 140,94,2208,69.12,1704
369,30.7,147,315,France,50.79,50.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F112_M10_RBFM.png,True,TD,0.19,5,33,20196,13.95,0.61,61249,7.87,308,130,0.77,1211,0.85,5.69,0.99,978,56.45,M10 RBFM,29,402,72.28,619
1393,25.96,364,294,USA,50.06,51.29,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A124_T54E2.png,True,HT,1.23,8,599,20127,8.48,1.09,61985,6.16,227,305,0.25,1368,0.77,4.08,0.7,1262,72.67,Renegade,59,1984,66.23,1354
