damage_received,survival,damage_received_from_invisible,life_time,nation,player_winrate,winrate,image,isPrem,class,difference,tier,damage_blocked,battles,shots_fired,spots,tank_id,direct_hits,sniper_damage,spotting_assist,base_defense_points,wn8,frags,penetrations,base_capture_points,distance_traveled,hit_rate,name,tracking_assist,potential_damage_received,pen_rate,damage
607,19.01,207,245,USA,50.27,49.24,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A71_T21.png,False,LT,-1.03,6,9,1678,8.57,1.99,15137,5.84,137,367,0.5,1473,0.59,4.45,0.85,1445,68.13,T21,15,603,76.12,501
628,34.11,208,319,UK,49.14,50.67,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB37_Valliant.png,True,MT,1.53,5,264,1671,11.37,0.52,60241,6.76,78,148,0.7,833,0.6,3.99,1.54,900,59.49,Valiant,25,869,59.05,420
973,21.28,320,268,USSR,49.19,49.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R59_A44.png,False,MT,0.79,7,238,1551,6.13,1.02,12545,3.8,129,242,0.31,789,0.52,2.45,0.84,1270,62.02,A-44,28,1206,64.33,610
528,17.72,178,224,UK,47.98,50.19,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB108_A46.png,True,LT,2.21,6,6,1535,7.63,2.29,55377,4.99,83,426,0.19,1050,0.47,3.59,0.74,1329,65.47,A46,13,544,71.85,370
542,15.45,192,235,Poland,49.21,48.46,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl12_25TP_KSUST_II.png,False,MT,-0.75,5,71,1534,9.68,0.9,2193,5.38,73,137,0.3,768,0.47,3.24,0.77,1091,55.51,25TP,22,596,60.34,368
418,20.92,174,279,USSR,51.16,47.85,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R202_SU_2_122.png,True,TD,-3.31,5,42,1472,5.39,0.4,29441,2.83,159,71,0.4,949,0.8,1.36,0.47,972,52.54,SU-2-122,30,473,47.92,482
346,32.76,154,328,Germany,51.61,50.8,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G76_Pz_Sfl_IVc.png,False,TD,-0.81,5,0,1404,6.93,0.31,16145,3.82,384,67,0.54,1357,0.81,3.03,0.98,1068,55.14,Pz.Sfl. IVc,25,334,79.42,612
1429,18.47,426,269,France,48.61,45.64,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F65_FCM_50t.png,True,HT,-2.97,8,235,1343,9.05,1.27,64065,5.97,219,300,0.31,997,0.57,3.97,0.71,1388,65.96,FCM 50 t,52,1688,66.5,932
1295,23.58,438,288,USA,48.33,46.91,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A111_T25_Pilot.png,True,MT,-1.42,8,198,1340,9.01,1.2,57377,5.93,265,391,0.44,1142,0.59,4.04,1,1368,65.84,T25 Pilot 1,53,1501,68.08,924
996,23.48,293,284,USSR,49.73,49.61,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R46_KV-13.png,False,MT,-0.12,7,280,1329,8.8,1.1,8961,5.66,122,304,0.5,936,0.62,3.62,0.87,1414,64.34,KV-13,29,1302,63.94,634
